ID,AREA_DESC,ROADNAME,Area,TOTAL_SPACES,DIPPED_FOOTPATH,PARK_SIGN,ROAD_MARKING,OCCUPIED,Adjacent_Services,LAT,LONG
495,Church of Saint Thomas the Apostle Carpark,Laurel Lodge Road,,4,TRUE, ,TRUE, ,Church,53.377275069281,-6.37745849319691
496,Church of Saint Thomas the Apostle Carpark,Laurel Lodge Road,,4, , ,TRUE, ,Church,53.3772983120223,-6.37751898859123
497,Church of Saint Thomas the Apostle Carpark,Laurel Lodge Road,,4, , ,TRUE, ,Church,53.3772542907116,-6.37765497566217
498,Church of Saint Thomas the Apostle Carpark,Laurel Lodge Road,,4, , ,TRUE, ,Church,53.3771803480804,-6.3774895492143
499,Carpark off Main Street,Main Street,,2, , ,TRUE, ,"GP, Restaurant",53.3868223211423,-6.376401388824
500,Carpark off Main Street,Main Street,,2, , ,TRUE, ,"Chemist, Chartbusters, Bathroom and Tiles",53.3868039629524,-6.37642798951062
501,Laurel Lodge Carpark,Laurel Lodge Road,,1, , ,TRUE, ,"Chemist, Butcher, Bookmakers, Supermarket, Hairdresser",53.3776971236713,-6.37687406324104
502, ,Main Street,,1,TRUE,TRUE,TRUE, ,"Chemist, Newsagents, Hairdresser, Bank,  Adult Education Centre",53.3858853789699,-6.37516133407384
503,Saint Brigids Church Carpark,Church Avenue,,3, ,TRUE,TRUE, ,Church,53.3851895218689,-6.37494822787511
504,Saint Brigids Church Carpark,Church Avenue,,3, ,TRUE,TRUE, ,"Church, Community Centre",53.3851890447444,-6.37498573636296
505,Saint Brigids Church Carpark,Church Avenue,,3, ,TRUE,TRUE, ,"Church, Community Centre",53.3851879618801,-6.37502754041503
506,Carpark off Main Street,Main Street,,1, ,TRUE, , ,Bookshop,53.3860104001551,-6.37357259203481
507,Axa Insurance,Main Street,,1,TRUE,TRUE,TRUE,TRUE,"Hairdressers, Cafe, Takeaway, Insurance",53.3856287989357,-6.37361911411748
508,James Connolly Memorial Hospital,JAMES CONNOLLY HOSPITAL,,9, ,TRUE,TRUE, ,Hospital,53.38795198047,-6.37029187259789
509,James Connolly Memorial Hospital,JAMES CONNOLLY HOSPITAL,,9, ,TRUE,TRUE, ,Hospital,53.3877027977027,-6.36927778697886
510,James Connolly Memorial Hospital,JAMES CONNOLLY HOSPITAL,,9, ,TRUE,TRUE,TRUE,Hospital,53.3876829359916,-6.36924033651783
511,James Connolly Memorial Hospital,JAMES CONNOLLY HOSPITAL,,9, ,TRUE,TRUE,TRUE,Hospital,53.3876609745379,-6.36920425629972
512,James Connolly Memorial Hospital,JAMES CONNOLLY HOSPITAL,,9, ,TRUE,TRUE, ,Hospital,53.3876408926218,-6.36916259720964
513,James Connolly Memorial Hospital,JAMES CONNOLLY HOSPITAL,,9, ,TRUE,TRUE,TRUE,Hospital,53.387624671826,-6.36911356507843
514,James Connolly Memorial Hospital,JAMES CONNOLLY HOSPITAL,,9, ,TRUE,TRUE,TRUE,Hospital,53.3876076953255,-6.36906895488938
515,James Connolly Memorial Hospital,JAMES CONNOLLY HOSPITAL,,9, ,TRUE,TRUE,TRUE,Hospital,53.3875948236334,-6.36902770281772
516,James Connolly Memorial Hospital,JAMES CONNOLLY HOSPITAL,,9, ,TRUE,TRUE,TRUE,Hospital,53.3875844195024,-6.36898963690856
517,Castleknock College Carpark,NA,,3,TRUE, ,TRUE, ,Secondary School,53.3688648352369,-6.36823766025258
518,Castleknock College Carpark,NA,,3,TRUE, ,TRUE, ,Secondary School,53.3688288352039,-6.36822032534211
519,Castleknock College Carpark,NA,,3,TRUE, ,TRUE,TRUE,Secondary School,53.3688961305588,-6.36825595044664
520,Castleknock Centre Carpark,Castleknock Road,,1, , ,TRUE, ,"Chemist, Post Office, Cafe",53.375007343418,-6.36300230728274
521,Carpark,Castleknock Road,,1, , ,TRUE, ,"Chemist, Supermarket, Hairdresser, LaundryOff License",53.3730487430889,-6.36126197494248
522,Castleknock Educate Together School & Tennis Club Car Park,Beech Park Avenue,,1,TRUE, ,TRUE, ,"Primary School, Sports Club",53.3797735465432,-6.36183443051173
523,Our Lady Mother of the Church Carpark,Beech Park Lawn,,1,TRUE, ,TRUE, ,Church,53.3754143954636,-6.36073505466945
524,Our Lady Mother of the Church Carpark,Beech Park Lawn,,3,TRUE, ,TRUE, ,Church,53.3752431449489,-6.36069182283125
525,Our Lady Mother of the Church Carpark,Beech Park Lawn,,3,TRUE, ,TRUE, ,Church,53.375207223333,-6.36082895429709
526,Our Lady Mother of the Church Carpark,Beech Park Lawn,,3,TRUE, ,TRUE, ,Church,53.375189043045,-6.3608969880456
